"tier","scenario_family","scenario_name","layer","world","condition","task","model","band","n_jobs"
"smoke","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds004504__EC","AD_vs_CN","kTSP_CV_nondisjoint","theta",2
"smoke","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","ds006036__EO_or_photomark","AD_vs_CN","kTSP_CV_nondisjoint","theta",2
"tier2_cross_condition","cross_condition_transfer","EO_photo_train__EC_test","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","EO_photo_train__EC_test","AD_vs_CN","kTSP_CV_nondisjoint","theta",2
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","ds004504__EC","AD_vs_FTD","kTSP_CV_nondisjoint","theta",42
"tier2_cross_condition","cross_condition_transfer","EC_train__EO_photo_test","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","EC_train__EO_photo_test","AD_vs_FTD","kTSP_CV_nondisjoint","theta",1
"tier2_cross_condition","cross_condition_transfer","EO_photo_train__EC_test","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","EO_photo_train__EC_test","AD_vs_FTD","kTSP_CV_nondisjoint","theta",1
"tier2_cross_condition","cross_condition_transfer","EO_photo_train__EC_test","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","EO_photo_train__EC_test","CN_vs_FTD","kTSP_CV_nondisjoint","theta",1
"tier2_cross_condition","cross_condition_transfer","EC_train__EO_photo_test","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","EC_train__EO_photo_test","AD_vs_FTD","kTSP_k3_disjoint","theta",1
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_ABSOLUTE_CHANNEL_BAND","ds006036__EO_or_photomark","CN_vs_FTD","kTSP_k3_disjoint","theta",97
"tier2_cross_condition","cross_condition_transfer","EO_photo_train__EC_test","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","EO_photo_train__EC_test","AD_vs_CN","kTSP_k3_nondisjoint","theta",2
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","ds006036__EO_or_photomark","AD_vs_FTD","kTSP_k3_nondisjoint","theta",6
"tier2_cross_condition","cross_condition_transfer","EC_train__EO_photo_test","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","EC_train__EO_photo_test","AD_FTD_vs_CN","kTSP_k5_disjoint","theta",1
"tier2_cross_condition","cross_condition_transfer","EO_photo_train__EC_test","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","EO_photo_train__EC_test","AD_FTD_vs_CN","kTSP_k5_disjoint","theta",1
"tier4_pooled","pooled_condition","POOLED_EC_EO_subject_grouped","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","POOLED_EC_EO_subject_grouped","AD_FTD_vs_CN","kTSP_k5_disjoint","theta",100
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","ds004504__EC","AD_vs_CN","kTSP_k5_disjoint","theta",100
"tier2_cross_condition","cross_condition_transfer","EC_train__EO_photo_test","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","EC_train__EO_photo_test","AD_vs_CN","kTSP_k5_disjoint","theta",2
"tier4_pooled","pooled_condition","POOLED_EC_EO_subject_grouped","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","POOLED_EC_EO_subject_grouped","AD_vs_CN","kTSP_k5_disjoint","theta",100
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","RAW_DECILES","ds006036__EO_or_photomark","CN_vs_FTD","kTSP_k5_disjoint","theta",9
"tier4_pooled","pooled_condition","POOLED_EC_EO_subject_grouped","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","POOLED_EC_EO_subject_grouped","CN_vs_FTD","kTSP_k5_disjoint","theta",4
"tier2_cross_condition","cross_condition_transfer","EC_train__EO_photo_test","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","EC_train__EO_photo_test","AD_FTD_vs_CN","kTSP_k5_nondisjoint","theta",1
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds004504__EC","AD_vs_CN","kTSP_k5_nondisjoint","theta",78
"tier4_pooled","pooled_condition","POOLED_EC_EO_subject_grouped","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","POOLED_EC_EO_subject_grouped","AD_vs_FTD","kTSP_k5_nondisjoint","theta",57
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","ds004504__EC","CN_vs_FTD","kTSP_k5_nondisjoint","theta",100
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","ds004504__EC","AD_FTD_vs_CN","kTSP_k9_disjoint","theta",99
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_ABSOLUTE_CHANNEL_BAND","ds004504__EC","AD_FTD_vs_CN","kTSP_k9_disjoint","theta",97
